roll_no,subject_code,internal_marks,external_marks
CS001,CS101,35,52
CS002,CS101,28,45
CS003,CS101,38,55
CS004,CS101,20,30
CS005,CS101,40,58
CS006,CS101,15,22
CS007,CS101,32,48
CS008,CS101,36,54
CS009,CS101,25,40
CS010,CS101,39,57
CS011,CS101,18,28
CS012,CS101,33,50
CS013,CS101,37,56
CS014,CS101,22,35
CS015,CS101,40,60
CS016,CS101,30,46
CS017,CS101,35,53
CS018,CS101,27,42
CS019,CS101,38,57
CS020,CS101,19,29
CS001,CS102,34,51
CS002,CS102,29,44
CS003,CS102,37,56
CS004,CS102,21,32
CS005,CS102,39,59
CS006,CS102,16,24
CS007,CS102,31,47
CS008,CS102,35,53
CS009,CS102,26,41
CS010,CS102,38,58
CS011,CS102,17,26
CS012,CS102,32,49
CS013,CS102,36,55
CS014,CS102,23,36
CS015,CS102,40,59
CS016,CS102,29,45
CS017,CS102,34,52
CS018,CS102,28,43
CS019,CS102,37,56
CS020,CS102,18,27
CS001,CS103,36,53
CS002,CS103,30,46
CS003,CS103,39,58
CS004,CS103,22,34
CS005,CS103,40,60
CS006,CS103,17,25
CS007,CS103,33,50
CS008,CS103,37,55
CS009,CS103,27,43
CS010,CS103,39,59
CS011,CS103,19,30
CS012,CS103,34,52
CS013,CS103,38,57
CS014,CS103,24,38
CS015,CS103,40,60
CS016,CS103,31,47
CS017,CS103,36,54
CS018,CS103,29,44
CS019,CS103,39,58
CS020,CS103,20,31
